Text,Sentiment
I hate how stressful my week has been.,Negative
I feel bad about not calling my family.,Negative
I’m disappointed with my lack of energy.,Negative
I hate that my shoes are uncomfortable.,Negative
I feel miserable about my tight schedule.,Negative
I’m frustrated with my broken equipment.,Negative
I hate that my room is always messy.,Negative
I feel disappointed with my own habits.,Negative
I hate when I’m forced to wait on hold.,Negative
I feel terrible for forgetting my friend’s event.,Negative
I’m frustrated with how unproductive I am. ,Negative
I had such a bad experience at that restaurant.,Negative
I hate how long this commute takes every day.,Negative
I'm really disappointed with the quality of this product.,Negative
I feel bad about missing the deadline.,Negative
The weather today is just horrible.,Negative
I hate waiting in long lines at the grocery store.,Negative
My meal tasted so bad; I couldn’t even finish it.,Negative
I was really disappointed in that movie.,Negative
My meeting was a complete waste of time.,Negative
This app has a terrible user interface.,Negative
I’m frustrated with my lack of progress today.,Negative
My laptop has such bad battery life.,Negative
I hate how cluttered my workspace feels right now.,Negative
I’m disappointed that I didn’t get the promotion.,Negative
This traffic is unbelievably bad.,Negative
I hate that I have to redo all this work.,Negative
My day started off really badly.,Negative
I was disappointed to hear that my favorite show got canceled.,Negative
I hate the taste of this coffee; it’s way too bitter.,Negative
This product isn’t worth the money – it’s so bad.,Negative
I’m disappointed in my performance at work.,Negative
I feel bad that I forgot my friend’s birthday.,Negative
I hate being put on hold for so long.,Negative
I’m tired of having such bad internet connection.,Negative
This room feels so uncomfortable and cold.,Negative
I’m really disappointed with how today turned out.,Negative
My sleep was terrible last night.,Negative
I hate how I feel unproductive lately.,Negative
This food tasted so bad; I wish I’d ordered something else.,Negative
I’m disappointed that my plans got canceled.,Negative
I hate the smell of this room right now.,Negative
The traffic today is a nightmare.,Negative
I had a bad headache all morning.,Negative
I feel disappointed in myself for not working harder.,Negative
"My coffee spilled all over, making a huge mess.",Negative
I hate that my favorite shirt got ruined in the wash.,Negative
This morning was off to a bad start.,Negative
I’m disappointed that my team lost the game.,Negative
I hate waiting for my computer to restart.,Negative
I had a really bad day at work.,Negative
I’m frustrated with my slow progress on this project.,Negative
I hate how unorganized my files are.,Negative
"My back pain is getting worse, and I hate it.",Negative
I’m disappointed that my package hasn’t arrived yet.,Negative
I had a bad experience with customer service.,Negative
This chair is uncomfortable; I hate sitting here.,Negative
I feel bad about how I handled that situation.,Negative
I’m disappointed in the quality of this fabric.,Negative
I hate having to ask for help all the time.,Negative
My internet connection is so bad; it keeps cutting out.,Negative
I’m frustrated that I have so much to do and no time.,Negative
I hate that my favorite restaurant closed down.,Negative
I’m disappointed in my decision to buy this.,Negative
I feel bad that I haven’t called my friend back.,Negative
I hate it when I lose important documents.,Negative
"This room has terrible lighting, and I can’t focus.",Negative
I’m disappointed with how my hair turned out.,Negative
I hate that my shoes are so uncomfortable.,Negative
This traffic is making me feel so bad-tempered.,Negative
I hate the feeling of being unproductive.,Negative
I’m disappointed that the meeting was postponed.,Negative
I feel bad for not finishing my tasks on time.,Negative
I hate the taste of this new snack I tried.,Negative
My phone’s battery is so bad; it dies quickly.,Negative
I’m disappointed that my project isn’t progressing.,Negative
I hate having to redo all this work.,Negative
I feel terrible that I forgot my friend’s special day.,Negative
I’m frustrated with how slow my computer is.,Negative
"I hate being stuck in such a small, noisy space.",Negative
I’m disappointed with the way my weekend went.,Negative
I feel bad that I didn’t achieve my goal.,Negative
I hate my slow internet; it ruins everything.,Negative
I’m frustrated with all the spam emails I get.,Negative
I’m disappointed that the event got canceled.,Negative
I hate this feeling of being overwhelmed.,Negative
My dinner was so bad; it ruined my night.,Negative
I’m disappointed in my productivity level.,Negative
I hate how messy my workspace has become.,Negative
I feel bad that I made a mistake at work.,Negative
I’m frustrated with how complicated this app is.,Negative
I hate having to wait so long for deliveries.,Negative
I’m disappointed that I didn’t make it on time.,Negative
This printer is so bad; it keeps jamming.,Negative
I hate that I can’t seem to get organized.,Negative
I feel bad that I was late for the meeting.,Negative
I’m disappointed in how the day turned out.,Negative
I hate being stuck in the same routine.,Negative
I’m frustrated with the lack of progress I see.,Negative
This room has a bad smell; it’s uncomfortable.,Negative
I’m disappointed in myself for not preparing better.,Negative
I hate when I misplace important items.,Negative
I’m frustrated that my device isn’t working right.,Negative
My coffee tastes so bad this morning.,Negative
I’m disappointed that my favorite store closed.,Negative
I hate how noisy my neighbors are.,Negative
This meal tasted terrible; I feel sick.,Negative
I’m disappointed that I didn’t get the job.,Negative
I hate how cold and uninviting this office is.,Negative
I feel bad for not helping out more.,Negative
I’m frustrated with the way things are going.,Negative
I hate dealing with all this paperwork.,Negative
I’m disappointed in how my day ended.,Negative
I feel bad that I missed an important call.,Negative
"This traffic is so bad, it’s stressing me out.",Negative
I’m disappointed in how unproductive I’ve been.,Negative
I hate how cluttered my desk is.,Negative
I’m frustrated with all these technical issues.,Negative
I’m disappointed that I didn’t reach my target.,Negative
"This food tasted so bad, I left it untouched.",Negative
I hate how often my computer crashes.,Negative
I’m disappointed that I forgot my password.,Negative
I feel bad about canceling last minute.,Negative
I hate that I misplaced my keys again.,Negative
I’m disappointed with the quality of my sleep.,Negative
I hate how cold this office feels.,Negative
"My internet is so bad, I can’t even work.",Negative
I feel bad for not being able to help.,Negative
I’m disappointed in how poorly this event went.,Negative
I hate being so disorganized lately.,Negative
I’m frustrated with my progress this month.,Negative
My commute is terrible; it’s exhausting.,Negative
I’m disappointed that my package arrived damaged.,Negative
I hate that my phone keeps overheating.,Negative
I’m disappointed with how my presentation went.,Negative
I hate how badly I’ve been eating recently.,Negative
I feel bad that I forgot to call my family.,Negative
I’m frustrated with how messy everything feels.,Negative
I hate how my day was ruined by bad luck.,Negative
I’m disappointed in my lack of time management.,Negative
This meal was terrible; I barely ate.,Negative
I hate the thought of doing this paperwork.,Negative
I’m frustrated with how slow my phone is.,Negative
I feel bad that I was short with my friend.,Negative
I’m disappointed with my current progress.,Negative
I hate waiting in line for so long.,Negative
My back pain is bad; I hate sitting all day.,Negative
I’m disappointed that I didn’t get the raise.,Negative
I hate the smell of this place; it’s awful.,Negative
I’m frustrated with my lack of motivation.,Negative
My sleep was so bad; I feel exhausted.,Negative
I’m disappointed that my trip got postponed.,Negative
I hate how messy my living room is.,Negative
I feel bad for neglecting my exercise routine.,Negative
"I’m frustrated with my old, slow laptop.",Negative
I’m disappointed in the food at this event.,Negative
I hate having to wait for replies.,Negative
My workspace feels so cramped; I hate it.,Negative
I’m disappointed in how the week turned out.,Negative
I hate that I missed the last train.,Negative
My coffee is bad; it’s way too strong.,Negative
I feel bad for not responding sooner.,Negative
I’m frustrated with this confusing process.,Negative
I’m disappointed that I forgot to bring my lunch.,Negative
I hate how unproductive I’ve felt.,Negative
My internet connection is so bad it’s useless.,Negative
I feel bad about not calling my friend back.,Negative
I’m frustrated with all this unnecessary paperwork.,Negative
I hate how dry the air in this office feels.,Negative
I’m disappointed that my package was delayed.,Negative
I hate how badly I procrastinate.,Negative
I feel bad for not finishing this on time.,Negative
I’m frustrated with my current progress rate.,Negative
My sleep was terrible; I’m so tired.,Negative
I’m disappointed in my poor performance today.,Negative
I hate that my commute takes so long.,Negative
This meeting was a waste; I’m so disappointed.,Negative
I hate that my glasses keep slipping down.,Negative
I feel bad for forgetting such an important detail.,Negative
I’m disappointed in myself for not being more proactive.,Negative
I hate having to redo all this work again.,Negative
